	Algal (Endosymbiont) Species	Algal (Endosymbiont) Strain	Host Species	Host Strain	Taxonomic Designation of the Host	Origin	Database	rbcL	18srRNA	28S rRNA	3_rpl36-5_infA	ITS1-5.8S-ITS2	Ref
	Hydrodictyon reticulatum	nd	Free-living	nd	nd			EF078305	nd	nd	nd	AY577738	"Rajevic et al., 2015"
	Monoraphidium sp.	nd	Free-living	nd	nd			KC810300	nd	nd	nd		"Rajevic et al., 2015"
	Mychonastes homosphaera	nd	Free-living	nd	nd			nd	X73996	nd	nd	GQ477054	"Rajevic et al., 2015"
	Pediastrum duplex	nd	Free-living	nd	nd			EF113461	nd	nd	nd	AY577745	"Rajevic et al., 2015"
	Pleodorina japonica	nd	Free-living	nd	nd			nd	nd	nd	nd		"Rajevic et al., 2015"
	Protosiphon botryoides	nd	Free-living	nd	nd			JN880463	nd	nd	nd		"Rajevic et al., 2015"
	Stigeoclonium hevleticum	nd	Free-living	nd	nd			nd	nd	nd	nd	HQ646382	"Rajevic et al., 2015"
	Tetrademus wisconsinensis	nd	Free-living	nd	nd			nd	AB037097	nd	nd		"Rajevic et al., 2015"
	Volvox carteri f. nagariensis	nd	Free-living	nd	nd			AB076099	nd	nd	nd		"Rajevic et al., 2015"
	Gloeotilopsis planctonica	nd	Free-living	nd	nd			AF499681	Z28970	nd	nd		"Rajevic et al., 2015"
	Ulothrix zonata	nd	Free-living	nd	nd			nd	Z47999	nd	nd	HE860526	"Rajevic et al., 2015"
	Ulva rigida	nd	Free-living	nd	nd			EF110009	nd	nd	nd	AJ234319	"Rajevic et al., 2015"
	Prasinococcus capsulatus	nd	Free-living	nd	nd			L34834	AB058384	nd	nd	HE610141	"Rajevic et al., 2015"
	Chlorella_sp_hydra		Hydra viridissima	nd	nd	Switzerland		KC810316	AB713411	nd	nd	FM205844	"Rajevic et al., 2015"
	Coccomyxa_sp_hydra	T	Hydra viridissima	nd	nd	"Turopolje, Croatia"							"Rajevic et al., 2015"
	Chlorella_sp_hydra	M9	Hydra viridissima	nd	nd	Israel							"Rajevic et al., 2015"
	Chlorella_sp_hydra	HV	Hydra viridissima	nd	nd	Germany							"Rajevic et al., 2015"
	Chlorella_sp_hydra	CZ80	Hydra viridissima	nd	nd	"Botanical Garden, Croatia"							"Rajevic et al., 2015"
	Chlorella_sp_hydra	CZ120	Hydra viridissima	nd	nd	"Jarun Lake, Croatia"							"Rajevic et al., 2015"
	C_vulgaris	LU18	Free-living	nd	nd	"Midwest, USA"		JQ415915	nd	nd	nd	nd	"Zou et al., 2016"
	C_sorokiniana	LU10	Free-living	nd	nd	"Midwest, USA"		JQ415922	nd	nd	nd	nd	?
